86,10,List not found : ,81,124,79,115,125,90,110,118,88 , List used : ,81,80,124,79,115,125,90,110,118,88
141,40,List not found : ,131,171,202,52,206,53 , List used : ,142,199,176,131,143,171,202,52,206,53
144,20,List not found : ,198,159,168,138,132,171,137,169 , List used : ,198,159,164,168,138,132,171,137,158,169
169,30,List not found : ,198,159,134,206,157,151,144 , List used : ,168,198,170,159,171,134,206,157,151,144
180,10,List not found : ,159,140,165,134,157,138,168,156,14 , List used : ,159,140,165,134,157,138,185,168,156,14
207,50,List not found : ,199,149,147,141,146 , List used : ,209,208,199,200,142,149,147,141,146,210
Average  ,27.2727

ratio CLD / HTD : 10% number img used  1
0,100,List not found :  , List used : ,25
1,100,List not found :  , List used : ,2
44,100,List not found :  , List used : ,43
52,100,List not found :  , List used : ,53
71,100,List not found :  , List used : ,29
86,100,List not found :  , List used : ,80
141,100,List not found :  , List used : ,142
144,0,List not found : ,198 , List used : ,198
169,100,List not found :  , List used : ,168
180,0,List not found : ,159 , List used : ,159
207,100,List not found :  , List used : ,209
Average  ,81.8182

ratio CLD / HTD : 10% number img used  2
0,50,List not found : ,67 , List used : ,25,67
1,50,List not found : ,16 , List used : ,2,16
44,100,List not found :  , List used : ,43,45
52,50,List not found : ,30 , List used : ,53,30
71,100,List not found :  , List used : ,29,20
86,50,List not found : ,81 , List used : ,80,81
141,100,List not found :  , List used : ,142,199
144,0,List not found : ,198,159 , List used : ,198,159
169,50,List not found : ,198 , List used : ,168,198
180,0,List not found : ,159,134 , List used : ,159,134
207,100,List not found :  , List used : ,209,208
Average  ,59.0909

ratio CLD / HTD : 10% number img used  3
0,66.6667,List not found : ,67 , List used : ,25,67,61
1,33.3333,List not found : ,16,89 , List used : ,2,16,89
44,100,List not found :  , List used : ,43,45,39
52,33.3333,List not found : ,30,59 , List used : ,53,30,59
71,66.6667,List not found : ,38 , List used : ,29,20,38
86,33.3333,List not found : ,81,124 , List used : ,80,81,124
141,100,List not found :  , List used : ,142,199,176
144,33.3333,List not found : ,198,159 , List used : ,198,159,158
169,66.6667,List not found : ,198 , List used : ,168,198,170
180,0,List not found : ,159,134,140 , List used : ,159,134,140
207,66.6667,List not found : ,199 , List used : ,209,208,199
Average  ,54.5455

ratio CLD / HTD : 10% number img used  4
0,75,List not found : ,67 , List used : ,25,67,61,37
1,25,List not found : ,16,89,32 , List used : ,2,16,89,32
44,100,List not found :  , List used : ,43,45,39,40
52,25,List not found : ,30,59,31 , List used : ,53,30,59,31
71,50,List not found : ,38,50 , List used : ,29,20,38,50
86,25,List not found : ,81,124,125 , List used : ,80,81,124,125
141,100,List not found :  , List used : ,142,199,176,143
144,50,List not found : ,198,159 , List used : ,198,159,158,164
169,50,List not found : ,198,159 , List used : ,168,198,170,159
180,0,List not found : ,159,134,140,165 , List used : ,159,134,140,165
207,75,List not found : ,199 , List used : ,209,208,199,200
Average  ,52.2727

ratio CLD / HTD : 10% number img used  5
0,80,List not found : ,67 , List used : ,25,67,61,37,70
1,20,List not found : ,16,89,32,49 , List used : ,2,16,89,32,49
44,80,List not found : ,53 , List used : ,43,45,39,40,53
52,20,List not found : ,30,59,31,72 , List used : ,53,30,59,31,72
71,60,List not found : ,38,50 , List used : ,29,20,38,50,7
86,20,List not found : ,81,124,125,118 , List used : ,80,81,124,125,118
141,80,List not found : ,131 , List used : ,142,199,176,143,131
144,40,List not found : ,198,159,168 , List used : ,198,159,158,164,168
169,60,List not found : ,198,159 , List used : ,168,198,170,159,171
180,0,List not found : ,159,134,140,165,157 , List used : ,159,134,140,165,157
207,80,List not found : ,199 , List used : ,209,208,199,200,142
Average  ,49.0909

ratio CLD / HTD : 10% number img used  6
0,66.6667,List not found : ,67,5 , List used : ,25,67,61,37,70,5
1,16.6667,List not found : ,16,89,32,49,116 , List used : ,2,16,89,32,49,116
44,66.6667,List not found : ,53,31 , List used : ,43,45,39,40,53,31
52,16.6667,List not found : ,30,59,31,72,103 , List used : ,53,30,59,31,72,103
71,50,List not found : ,38,50,57 , List used : ,29,20,38,50,7,57
86,16.6667,List not found : ,81,124,125,118,115 , List used : ,80,81,124,125,118,115
141,66.6667,List not found : ,131,171 , List used : ,142,199,176,143,131,171
144,33.3333,List not found : ,198,159,168,132 , List used : ,198,159,158,164,168,132
169,50,List not found : ,198,159,134 , List used : ,168,198,170,159,171,134
180,0,List not found : ,159,134,140,165,157,138 , List used : ,159,134,140,165,157,138
207,66.6667,List not found : ,199,141 , List used : ,209,208,199,200,142,141
Average  ,40.9091

ratio CLD / HTD : 10% number img used  7
0,57.1429,List not found : ,67,5,23 , List used : ,25,67,61,37,70,5,23
1,28.5714,List not found : ,16,89,32,49,116 , List used : ,2,16,89,32,49,116,3
44,57.1429,List not found : ,53,31,30 , List used : ,43,45,39,40,53,31,30
52,14.2857,List not found : ,30,59,31,72,103,101 , List used : ,53,30,59,31,72,103,101
71,42.8571,List not found : ,38,50,57,34 , List used : ,29,20,38,50,7,57,34
86,14.2857,List not found : ,81,124,125,118,115,110 , List used : ,80,81,124,125,118,115,110
141,57.1429,List not found : ,131,171,202 , List used : ,142,199,176,143,131,171,202
144,28.5714,List not found : ,198,159,168,132,138 , List used : ,198,159,158,164,168,132,138
169,42.8571,List not found : ,198,159,134,206 , List used : ,168,198,170,159,171,134,206
180,14.2857,List not found : ,159,134,140,165,157,138 , List used : ,159,134,140,165,157,138,185
207,57.1429,List not found : ,199,141,149 , List used : ,209,208,199,200,142,141,149
Average  ,37.6623

ratio CLD / HTD : 10% number img used  8
0,50,List not found : ,67,5,23,21 , List used : ,25,67,61,37,70,5,23,21
1,25,List not found : ,16,89,32,49,116,76 , List used : ,2,16,89,32,49,116,3,76
44,50,List not found : ,53,31,30,78 , List used : ,43,45,39,40,53,31,30,78
52,12.5,List not found : ,30,59,31,72,103,101,71 , List used : ,53,30,59,31,72,103,101,71
71,50,List not found : ,38,50,57,34 , List used : ,29,20,38,50,7,57,34,68
86,12.5,List not found : ,81,124,125,118,115,110,79 , List used : ,80,81,124,125,118,115,110,79
141,50,List not found : ,131,171,202,206 , List used : ,142,199,176,143,131,171,202,206
144,25,List not found : ,198,159,168,132,138,171 , List used : ,198,159,158,164,168,132,138,171
169,37.5,List not found : ,198,159,134,206,151 , List used : ,168,198,170,159,171,134,206,151
180,12.5,List not found : ,159,134,140,165,157,138,168 , List used : ,159,134,140,165,157,138,185,168
207,50,List not found : ,199,141,149,147 , List used : ,209,208,199,200,142,141,149,147
Average  ,34.0909

ratio CLD / HTD : 10% number img used  9
0,44.4444,List not found : ,67,5,23,21,6 , List used : ,25,67,61,37,70,5,23,21,6
1,22.2222,List not found : ,16,89,32,49,116,76,51 , List used : ,2,16,89,32,49,116,3,76,51
44,44.4444,List not found : ,53,31,30,78,14 , List used : ,43,45,39,40,53,31,30,78,14
52,11.1111,List not found : ,30,59,31,72,103,101,71,14 , List used : ,53,30,59,31,72,103,101,71,14
71,44.4444,List not found : ,38,50,57,34,30 , List used : ,29,20,38,50,7,57,34,68,30
86,11.1111,List not found : ,81,124,125,118,115,110,79,99 , List used : ,80,81,124,125,118,115,110,79,99
141,44.4444,List not found : ,131,171,202,206,133 , List used : ,142,199,176,143,131,171,202,206,133
144,22.2222,List not found : ,198,159,168,132,138,171,137 , List used : ,198,159,158,164,168,132,138,171,137
169,33.3333,List not found : ,198,159,134,206,151,174 , List used : ,168,198,170,159,171,134,206,151,174
180,11.1111,List not found : ,159,134,140,165,157,138,168,156 , List used : ,159,134,140,165,157,138,185,168,156
207,44.4444,List not found : ,199,141,149,147,146 , List used : ,209,208,199,200,142,141,149,147,146
Average  ,30.303

ratio CLD / HTD : 10% number img used  10
0,50,List not found : ,67,5,23,21,6 , List used : ,25,67,61,37,70,5,23,21,6,33
1,20,List not found : ,16,89,32,49,116,76,51,27 , List used : ,2,16,89,32,49,116,3,76,51,27
44,40,List not found : ,53,31,30,78,14,84 , List used : ,43,45,39,40,53,31,30,78,14,84
52,10,List not found : ,30,59,31,72,103,101,71,14,78 , List used : ,53,30,59,31,72,103,101,71,14,78
71,40,List not found : ,38,50,57,34,30,49 , List used : ,29,20,38,50,7,57,34,68,30,49
86,20,List not found : ,81,124,125,118,115,110,79,99 , List used : ,80,81,124,125,118,115,110,79,99,96
141,40,List not found : ,131,171,202,206,133,135 , List used : ,142,199,176,143,131,171,202,206,133,135
144,20,List not found : ,198,159,168,132,138,171,137,169 , List used : ,198,159,158,164,168,132,138,171,137,169
169,40,List not found : ,198,159,134,206,151,174 , List used : ,168,198,170,159,171,134,206,151,174,202
180,10,List not found : ,159,134,140,165,157,138,168,156,163 , List used : ,159,134,140,165,157,138,185,168,156,163
207,50,List not found : ,199,141,149,147,146 , List used : ,209,208,199,200,142,141,149,147,146,210
Average  ,30.9091

ratio CLD / HTD : 20% number img used  1
0,100,List not found :  , List used : ,61
1,100,List not found :  , List used : ,2
44,100,List not found :  , List used : ,43
52,100,List not found :  , List used : ,53
71,100,List not found :  , List used : ,29
86,100,List not found :  , List used : ,80
141,100,List not found :  , List used : ,142
144,0,List not found : ,198 , List used : ,198
169,100,List not found :  , List used : ,168
180,0,List not found : ,159 , List used : ,159
207,100,List not found :  , List used : ,209
Average  ,81.8182

ratio CLD / HTD : 20% number img used  2
0,100,List not found :  , List used : ,61,25
1,50,List not found : ,16 , List used : ,2,16
44,100,List not found :  , List used : ,43,45
52,50,List not found : ,30 , List used : ,53,30
71,100,List not found :  , List used : ,29,20
86,50,List not found : ,81 , List used : ,80,81
141,100,List not found :  , List used : ,142,199
144,50,List not found : ,198 , List used : ,198,158
169,100,List not found :  , List used : ,168,170
180,0,List not found : ,159,134 , List used : ,159,134
207,100,List not found :  , List used : ,209,208
Average  ,72.7273

ratio CLD / HTD : 20% number img used  3
0,66.6667,List not found : ,67 , List used : ,61,25,67
1,33.3333,List not found : ,16,89 , List used : ,2,16,89
44,100,List not found :  , List used : ,43,45,39
52,33.3333,List not found : ,30,59 , List used : ,53,30,59
71,100,List not found :  , List used : ,29,20,7
86,33.3333,List not found : ,81,125 , List used : ,80,81,125
141,100,List not found :  , List used : ,142,199,176
144,33.3333,List not found : ,198,159 , List used : ,198,158,159
169,66.6667,List not found : ,159 , List used : ,168,170,159
180,0,List not found : ,159,134,140 , List used : ,159,134,140
207,100,List not found :  , List used : ,209,208,200
Average  ,60.6061

ratio CLD / HTD : 20% number img used  4
0,75,List not found : ,67 , List used : ,61,25,67,37
1,25,List not found : ,16,89,49 , List used : ,2,16,89,49
44,100,List not found :  , List used : ,43,45,39,40
52,25,List not found : ,30,59,72 , List used : ,53,30,59,72
71,75,List not found : ,38 , List used : ,29,20,7,38
86,25,List not found : ,81,125,124 , List used : ,80,81,125,124
141,100,List not found :  , List used : ,142,199,176,143
144,25,List not found : ,198,159,132 , List used : ,198,158,159,132
169,50,List not found : ,159,198 , List used : ,168,170,159,198
180,0,List not found : ,159,134,140,165 , List used : ,159,134,140,165
207,75,List not found : ,199 , List used : ,209,208,200,199
Average  ,52.2727

ratio CLD / HTD : 20% number img used  5
0,60,List not found : ,67,5 , List used : ,61,25,67,37,5
1,20,List not found : ,16,89,49,32 , List used : ,2,16,89,49,32
44,80,List not found : ,53 , List used : ,43,45,39,40,53
52,20,List not found : ,30,59,72,31 , List used : ,53,30,59,72,31
71,60,List not found : ,38,57 , List used : ,29,20,7,38,57
86,20,List not found : ,81,125,124,118 , List used : ,80,81,125,124,118
